시/도,지역구,지역구코드,행정동,행정동코드,전체 유권자,청년층(18~39세),중년층(40~59세),고령층(65세 이상),청년 남성,청년 여성,2030 1인가구,유동인구,20대 남성,20대 여성,30대 남성,30대 여성,40대 남성,40대 여성,50대 남성,50대 여성,60대 남성,60대 여성,70대 이상 남성,70대 이상 여성
서울,서대문구갑,2414,홍제제1동,1141062000,"21,835","6,813","7,618","5,458","3,222","3,591","1,397",268,1521,1746,1701,"1,845",1642,"1,746",1992,"2,238",1697,"2,038","1,541","2,128"
서울,서대문구갑,2414,홍제제2동,1141065500,"10,849","3,286","3,554","2,892","1,613","1,673",429,995,705,775,908,898,715,753,961,"1,125",968,"1,120",750,"1,171"
서울,은평구갑,2415,녹번동,1138051000,"31,837","10,027","10,789","8,221","4,742","5,285","2,530",636,2083,2445,2659,"2,840",2527,"2,515",2752,"2,995",2484,"2,973","2,248","3,316"
서울,은평구갑,2415,응암제1동,1138058000,"28,287","9,793","10,245","6,087","4,461","5,332","2,733",355,2064,2610,2397,"2,722",2482,"2,567",2473,"2,723",1914,"2,253","1,615","2,467"
서울,은평구갑,2415,응암제2동,1138059000,"22,238","6,640","9,521","4,581","3,185","3,455",760,405,1372,1345,1813,"2,110",2653,"2,704",2090,"2,074",1391,"1,651","1,248","1,787"
서울,은평구갑,2415,응암제3동,1138060000,"21,517","6,565","6,653","6,330","3,332","3,233","2,187",310,1604,1680,1728,"1,553",1524,"1,377",1881,"1,871",1817,"2,051","1,761","2,670"
서울,은평구갑,2415,역촌동,1138062500,"40,592","12,566","14,208","10,177","6,061","6,505","2,890",1739,2862,3194,3199,"3,311",3247,"3,355",3565,"4,041",3118,"3,866","2,859","3,975"
서울,은평구갑,2415,신사제1동,1138063100,"23,499","7,389","7,981","6,034","3,682","3,707","1,668",466,1821,1845,1861,"1,862",1765,"1,783",2094,"2,339",1899,"2,289","1,682","2,259"
서울,은평구갑,2415,신사제2동,1138063200,"16,704","5,084","5,626","4,437","2,603","2,481","1,106",435,1240,1205,1363,"1,276",1299,"1,258",1514,"1,555",1488,"1,606","1,232","1,668"
서울,은평구갑,2415,증산동,1138064000,"13,731","4,331","4,868","3,376","2,124","2,207",726,1384,1038,1100,1086,"1,107",1070,"1,097",1312,"1,389",1053,"1,220","1,002","1,257"
서울,은평구갑,2415,수색동,1138065000,"18,316","6,537","6,695","3,601","3,218","3,319",698,316,1450,1405,1768,"1,914",1519,"1,501",1750,"1,925",1361,"1,459",905,"1,359"
경기,고양시을,2421,효자동,4128156000,"20,625","7,829","8,386","3,086","3,622","4,207","1,111",392,1188,1315,2434,"2,892",2733,"2,443",1547,"1,663",1231,"1,204",868,"1,107"
경기,고양시을,2421,삼송1동,4128157600,"18,969","7,396","7,133","3,074","3,367","4,029","2,123",458,1230,1665,2137,"2,364",1960,"1,934",1521,"1,718",1242,"1,330",866,"1,002"
경기,고양시을,2421,삼송2동,4128157700,"24,576","9,074","8,337","5,263","4,140","4,934","2,594",591,1525,2018,2615,"2,916",2168,"2,111",1814,"2,244",1612,"1,987","1,427","2,139"
경기,고양시을,2421,창릉동,4128158000,"18,915","7,208","7,335","3,113","3,410","3,798","1,233",665,1016,1217,2394,"2,581",2182,"2,089",1493,"1,571",1192,"1,242",847,"1,091"
경기,고양시을,2421,능곡동,4139064000,"21,705","7,606","8,857","3,424","3,816","3,790","1,101",536,1834,1830,1982,"1,960",2058,"2,051",2289,"2,459",1602,"1,506",885,"1,249"
경기,고양시을,2421,행주동,4128163000,"11,313","2,951","3,862","3,126","1,629","1,322",794,2395,801,718,828,604,786,622,1334,"1,120",1398,"1,141",814,"1,147"
경기,고양시을,2421,행신1동,4128164000,"17,909","5,354","6,452","4,161","2,711","2,643",533,383,1363,1333,1348,"1,310",1257,"1,316",1846,"2,033",1738,"1,820","1,003","1,542"
경기,고양시을,2421,행신2동,4128165000,"26,292","8,933","9,323","5,418","4,573","4,360","1,639",423,2134,2030,2439,"2,330",1938,"1,998",2526,"2,861",2284,"2,310","1,362","2,080"
경기,고양시을,2421,행신3동,4128165500,"19,895","6,135","7,416","4,134","3,038","3,097",515,418,1664,1620,1374,"1,477",1256,"1,473",2057,"2,630",1871,"1,829","1,036","1,608"
