file_name,party_name,label
2016_na_pro,새누리당,보수
2016_na_pro,더불어민주당,민주
2016_na_pro,국민의당,기타
2016_na_pro,정의당,진보
2016_na_pro,기독자유당,기타
2016_na_pro,민주당,기타
2016_na_pro,코리아,기타
2016_na_pro,일제·위안부·인권정당,기타
2016_na_pro,개혁국민신당,기타
2016_na_pro,고용복지연금선진화연대,기타
2016_na_pro,공화당,기타
2016_na_pro,불교당,기타
2016_na_pro,기독당,기타
2016_na_pro,노동당,진보
2016_na_pro,녹색당,진보
2016_na_pro,민중연합당,진보당
2016_na_pro,복지국가당,기타
2016_na_pro,친반통일당,기타
2016_na_pro,통일한국당,기타
2016_na_pro,한국국민당,기타
2016_na_pro,한나라당,기타
2017_S_president,더불어민주당 문재인,민주
2017_S_president,자유한국당 홍준표,보수
2017_S_president,국민의당 안철수,기타
2017_S_president,바른정당 유승민,보수
2017_S_president,정의당 심상정,진보
2017_S_president,새누리당 조원진,보수
2017_S_president,경제애국당 오영국,기타
2017_S_president,국민대통합당 장성민,기타
2017_S_president,늘푸른한국당 이재오,기타
2017_S_president,민중연합당 김선동,진보당
2017_S_president,한국국민당 이경희,기타
2017_S_president,홍익당 윤홍식,기타
2017_S_president,무소속 김민찬,기타
2018_S_loc_gov,더불어민주당 박원순,민주
2018_S_loc_gov,자유한국당 김문수,보수
2018_S_loc_gov,바른미래당 안철수,기타
2018_S_loc_gov,정의당 김종민,진보
2018_S_loc_gov,민중당 김진숙,진보당
2018_S_loc_gov,대한애국당 인지연,기타
2018_S_loc_gov,녹색당 신지예,진보
2018_S_loc_gov,우리미래 우인철,기타
2018_S_loc_gov,친박연대 최태현,기타
2018_S_loc_pro,더불어민주당,민주
2018_S_loc_pro,자유한국당,보수
2018_S_loc_pro,바른미래당,기타
2018_S_loc_pro,민주평화당,민주
2018_S_loc_pro,정의당,진보
2018_S_loc_pro,민중당,진보당
2018_S_loc_pro,대한애국당,기타
2018_S_loc_pro,국제녹색당,기타
2018_S_loc_pro,녹색당,진보
2018_S_loc_pro,우리미래,기타
2018_S_loc_pro,친박연대,기타
2020_S_na_pro,민생당,기타
2020_S_na_pro,미래한국당,보수
2020_S_na_pro,더불어시민당,민주
2020_S_na_pro,정의당,진보
2020_S_na_pro,우리공화당,보수
2020_S_na_pro,민중당,진보당
2020_S_na_pro,한국경제당,기타
2020_S_na_pro,국민의당,기타
2020_S_na_pro,친박신당,기타
2020_S_na_pro,열린민주당,민주
2020_S_na_pro,코리아,기타
2020_S_na_pro,가자!평화인권당,기타
2020_S_na_pro,가자환경당,기타
2020_S_na_pro,국가혁명배당금당,기타
2020_S_na_pro,국민새정당,기타
2020_S_na_pro,국민참여신당,기타
2020_S_na_pro,기독자유통일당,기타
2020_S_na_pro,깨어있는시민연대당,기타
2020_S_na_pro,남북통일당,기타
2020_S_na_pro,노동당,진보
2020_S_na_pro,녹색당,진보
2020_S_na_pro,대한당,기타
2020_S_na_pro,대한민국당,기타
2020_S_na_pro,미래당,기타
2020_S_na_pro,미래민주당,기타
2020_S_na_pro,새누리당,기타
2020_S_na_pro,여성의당,기타
2020_S_na_pro,우리당,기타
2020_S_na_pro,자유당,기타
2020_S_na_pro,새벽당,기타
2020_S_na_pro,자영업당,기타
2020_S_na_pro,충청의미래당,기타
2020_S_na_pro,통일민주당,기타
2020_S_na_pro,한국복지당,기타
2020_S_na_pro,홍익당,기타
2022_S_loc_gov,더불어민주당 송영길,민주
2022_S_loc_gov,국민의힘 오세훈,보수
2022_S_loc_gov,정의당 권수정,진보
2022_S_loc_gov,기본소득당 신지혜,진보
2022_S_loc_gov,무소속 김광종,기타
2022_S_loc_pro,더불어민주당,민주
2022_S_loc_pro,국민의힘,보수
2022_S_loc_pro,정의당,진보
2022_S_loc_pro,기본소득당,진보
2022_S_loc_pro,녹색당,진보
2022_S_loc_pro,독도당,기타
2022_S_loc_pro,진보당,진보당
2022_S_loc_pro,통일한국당,기타
2022_S_loc_pro,한류연합당,기타
2022_S_president,더불어민주당 이재명,민주
2022_S_president,국민의힘 윤석열,보수
2022_S_president,정의당 심상정,진보
2022_S_president,기본소득당 오준호,진보
2022_S_president,국가혁명당 허경영,기타
2022_S_president,노동당 이백윤,진보
2022_S_president,새누리당 옥은호,기타
2022_S_president,신자유민주연합 김경재,기타
2022_S_president,우리공화당 조원진,보수
2022_S_president,진보당 김재연,진보당
2022_S_president,통일한국당 이경희,기타
2022_S_president,한류연합당 김민찬,기타
2024_S_na_pro,더불어민주연합,민주
2024_S_na_pro,국민의미래,보수
2024_S_na_pro,녹색정의당,진보
2024_S_na_pro,새로운미래,기타
2024_S_na_pro,개혁신당,보수
2024_S_na_pro,자유통일당,보수
2024_S_na_pro,조국혁신당,민주
2024_S_na_pro,가가국민참여신당,기타
2024_S_na_pro,가가호호공명선거대한당,기타
2024_S_na_pro,반공정당코리아,기타
2024_S_na_pro,가락특권폐지당,기타
2024_S_na_pro,공화당,기타
2024_S_na_pro,국가혁명당,기타
2024_S_na_pro,국민대통합당,기타
2024_S_na_pro,금융개혁당,기타
2024_S_na_pro,기독당,기타
2024_S_na_pro,기후민생당,기타
2024_S_na_pro,내일로미래로,기타
2024_S_na_pro,노동당,진보
2024_S_na_pro,노인복지당,기타
2024_S_na_pro,대중민주당,기타
2024_S_na_pro,대한국민당,기타
2024_S_na_pro,대한민국당,기타
2024_S_na_pro,대한상공인당,기타
2024_S_na_pro,미래당,기타
2024_S_na_pro,새누리당,기타
2024_S_na_pro,소나무당,기타
2024_S_na_pro,신한반도당,기타
2024_S_na_pro,여성의당,기타
2024_S_na_pro,우리공화당,보수
2024_S_na_pro,자유민주당,기타
2024_S_na_pro,케이정치혁신연합당,기타
2024_S_na_pro,통일한국당,기타
2024_S_na_pro,한국농어민당,기타
2024_S_na_pro,한나라당,기타
2024_S_na_pro,한류연합당,기타
2024_S_na_pro,홍익당,기타
2024_S_na_pro,히시태그국민정책당,기타
2025_S_president,더불어민주당 이재명,민주
2025_S_president,국민의힘 김문수,보수
2025_S_president,개혁신당 이준석,기타
2025_S_president,민주노동당 권영국,진보
2025_S_president,무소속 송진호,기타
2018_G_loc_pro,더불어민주당,민주
2018_G_loc_pro,자유한국당,보수
2018_G_loc_pro,바른미래당,기타
2018_G_loc_pro,민주평화당,민주
2018_G_loc_pro,정의당,진보
2018_G_loc_pro,민중당,진보당
2018_G_loc_pro,대한애국당,기타
2018_G_loc_pro,노동당,진보
2018_G_loc_pro,녹색당,진보
2018_G_loc_pro,우리미래,기타
2018_G_loc_gov,"더불어민주당 이재명",민주
2018_G_loc_gov,"자유한국당 남경필",보수
2018_G_loc_gov,바른미래당 김영환,기타
2018_G_loc_gov,"정의당 이홍우",진보
2018_G_loc_gov,"민중당 홍성규",진보당
2022_G_loc_pro,더불어민주당,민주
2022_G_loc_pro,국민의힘,보수
2022_G_loc_pro,정의당,진보
2022_G_loc_pro,기본소득당,진보
2022_G_loc_pro,녹색당,진보
2022_G_loc_pro,진보당,진보당
2022_G_loc_gov,더불어민주당 김동연,민주
2022_G_loc_gov,국민의힘 김은혜,보수
2022_G_loc_gov,정의당 황순식,진보
2022_G_loc_gov,기본소득당 서태성,진보
2022_G_loc_gov,진보당 송영주,진보당
2022_G_loc_gov,무소속 강용석,기타
